============== Resource: Michael Jordan ==============
Label: Playoff,		Frequency: 3
Label: Philadelphia,		Frequency: 3
Label: Pennsylvania,		Frequency: 3
Label: Playoffs,		Frequency: 3
Label: Air Jordan,		Frequency: 3
Label: Eishockey,		Frequency: 3
Label: Nicolas Mahler,		Frequency: 3
Label: Kirk Hinrich,		Frequency: 3
Label: 17. Februar,		Frequency: 3
Label: David Stern,		Frequency: 3
Label: Franchise,		Frequency: 3
Label: Jugoslawien,		Frequency: 3
Label: 18. Februar,		Frequency: 3
Label: Larry Brown,		Frequency: 3
Label: Shawn Kemp,		Frequency: 3
Label: Kevin Garnett,		Frequency: 3
Label: Lockout,		Frequency: 3
Label: Memphis Grizzlies,		Frequency: 3
Label: Tom Chambers,		Frequency: 3
Label: New York,		Frequency: 3
Label: Chicago,		Frequency: 3
Label: Malone,		Frequency: 3
Label: 16. Februar,		Frequency: 3
Label: Doc Rivers,		Frequency: 3
Label: NBA-Draft 1993,		Frequency: 3
Label: Illinois,		Frequency: 3
Label: Shawn Bradley,		Frequency: 3
Label: Vereinigte Staaten,		Frequency: 3
Label: All-Star Game,		Frequency: 3
Label: NBC,		Frequency: 3
Label: Kevin McHale,		Frequency: 3
Label: Mark Price,		Frequency: 3
Label: Houston,		Frequency: 3
Label: Jeff Hornacek,		Frequency: 3
Label: 1972,		Frequency: 3
Label: Highschool,		Frequency: 3
Label: 1985,		Frequency: 3
Label: 1996,		Frequency: 3
Label: 1991,		Frequency: 3
Label: 1993,		Frequency: 3
Label: NBA Draft 2004,		Frequency: 3
Label: Washington, D.C.,		Frequency: 3
Label: New Jersey,		Frequency: 3
Label: Sportler des Jahres,		Frequency: 3
Label: Madison Square Garden,		Frequency: 3
Label: High School,		Frequency: 3
Label: 1962,		Frequency: 3
Label: 1961,		Frequency: 3
Label: Dolph Schayes,		Frequency: 2
Label: Ray Allen,		Frequency: 2
Label: NBA Most Valuable Player Award,		Frequency: 2
Label: Auszeit,		Frequency: 2
Label: Pippen,		Frequency: 2
Label: Fernando Romay,		Frequency: 2
Label: Baseball,		Frequency: 2
Label: Pelé,		Frequency: 2
Label: American Airlines Arena,		Frequency: 2
Label: Cedric Ceballos,		Frequency: 2
Label: Connecticut,		Frequency: 2
Label: Anthony Mason,		Frequency: 2
Label: Benoit Benjamin,		Frequency: 2
Label: FIBA,		Frequency: 2
Label: Aaron Williams,		Frequency: 2
Label: Osten,		Frequency: 2
Label: Malcolm X,		Frequency: 2
Label: Doug Christie,		Frequency: 2
Label: Kerstin Monica Äijä Lenndin,		Frequency: 2
Label: Gerhard Haderer,		Frequency: 2
Label: Westen,		Frequency: 2
Label: ABC,		Frequency: 2
Label: Steve Timmons,		Frequency: 2
Label: Olympischen Spielen 1984,		Frequency: 2
Label: Vlade Divac,		Frequency: 2
Label: Fernando Martín,		Frequency: 2
Label: Bill Russell,		Frequency: 2
Label: National Basketball Association,		Frequency: 2
Label: Saison 1998/99,		Frequency: 2
Label: Triple Double,		Frequency: 2
Label: Schauspieler,		Frequency: 2
Label: Regular Season,		Frequency: 2
Label: Eric Sato,		Frequency: 2
Label: NBA Finals,		Frequency: 2
Label: Triple-Double,		Frequency: 2
Label: Olympischen Sommerspielen 1972,		Frequency: 2
Label: Playoffspiel,		Frequency: 2
Label: Ben Gordon,		Frequency: 2
Label: Andrés Nocioni,		Frequency: 2
Label: College,		Frequency: 2
Label: Dee Brown,		Frequency: 2
Label: Kanada,		Frequency: 2
Label: Bob Pettit,		Frequency: 2
Label: Kevin Johnson,		Frequency: 2
Label: FIBA Hall of Fame,		Frequency: 2
Label: Tracy McGrady,		Frequency: 2
Label: All-Star,		Frequency: 2
Label: 2K Sports,		Frequency: 2
Label: Montreal 1976,		Frequency: 2
Label: Nate Robinson,		Frequency: 2
Label: NBA Drafts,		Frequency: 2
Label: Sam Bowie,		Frequency: 2
Label: Olympischen Sommerspielen 2008,		Frequency: 2
Label: Robert Ruark,		Frequency: 2
Label: NBA-Saison 1990/91,		Frequency: 2
Label: Aufbauspieler,		Frequency: 2
Label: Doug Collins,		Frequency: 2
Label: Tyson Chandler,		Frequency: 2
Label: Elton Brand,		Frequency: 2
Label: Eric Williams,		Frequency: 2
Label: Guard,		Frequency: 2
Label: Werbespot,		Frequency: 2
Label: Sports Illustrated,		Frequency: 2
Label: Heinz Wolf,		Frequency: 2
Label: NBA All-Rookie Second Team,		Frequency: 2
Label: Carmelo Anthony,		Frequency: 2
Label: Dallas,		Frequency: 2
Label: Johnson,		Frequency: 2
Label: Saison 2006/07,		Frequency: 2
Label: Kevin Durant,		Frequency: 2
Label: Luol Deng,		Frequency: 2
Label: Charlotte Bobcats,		Frequency: 2
Label: Elgin Baylor,		Frequency: 2
Label: New York Times,		Frequency: 2
Label: Knie,		Frequency: 2
Label: Henrik Rödl,		Frequency: 2
Label: Antonio McDyess,		Frequency: 2
Label: Ron Artest,		Frequency: 2
Label: Finals-MVP,		Frequency: 2
Label: Nigeria,		Frequency: 2
Label: Eddy Curry,		Frequency: 2
Label: Vietnamkrieg,		Frequency: 2
Label: Saison 2004/05,		Frequency: 2
Label: Oklahoma City Thunder,		Frequency: 2
Label: Seoul 1988,		Frequency: 2
Label: Muggsy Bogues,		Frequency: 2
Label: NBA-Draft 2009,		Frequency: 2
Label: Bill Laimbeer,		Frequency: 2
Label: Tyreke Evans,		Frequency: 2
Label: tonto,		Frequency: 2
Label: Visual Concepts,		Frequency: 2
Label: Pervis Ellison,		Frequency: 2
Label: Brent Barry,		Frequency: 2
Label: Spiel,		Frequency: 2
Label: Italien,		Frequency: 2
Label: NBA-Draft 1986,		Frequency: 2
Label: NBA-Draft 1984,		Frequency: 2
Label: North Carolina,		Frequency: 2
Label: Mychal Judge,		Frequency: 2
Label: Olympischen Sommerspielen 1992,		Frequency: 2
Label: Olympischen Sommerspielen 1996,		Frequency: 2
Label: Kenny Walker,		Frequency: 2
Label: NBA Sixth Man of the Year Award,		Frequency: 2
Label: Deron Williams,		Frequency: 2
Label: NBA Defensive Player of the Year,		Frequency: 2
Label: NBA-Saison 2010/2011,		Frequency: 2
Label: All-Star-Team,		Frequency: 2
Label: München,		Frequency: 2
Label: Saison 2009/10,		Frequency: 2
Label: New Orleans,		Frequency: 2
Label: 2008,		Frequency: 2
Label: 2005,		Frequency: 2
Label: Springfield,		Frequency: 2
Label: Glen Rice,		Frequency: 2
Label: Rookie des Jahres,		Frequency: 2
Label: Miami,		Frequency: 2
Label: Don Nelson,		Frequency: 2
Label: Ray Charles,		Frequency: 2
Label: US-Dollar,		Frequency: 2
Label: Oscar Robertson,		Frequency: 2
Label: Charlotte,		Frequency: 2
Label: Small Forward,		Frequency: 2
Label: NBA-Playoffs,		Frequency: 2
Label: Don Chaney,		Frequency: 2
Label: Chris Paul,		Frequency: 2
Label: Hubie Brown,		Frequency: 2
Label: NFL,		Frequency: 2
Label: NBA Rookie of the Year,		Frequency: 2
Label: Jordan, Michael,		Frequency: 2
Label: EM 1983,		Frequency: 2
Label: Scott Skiles,		Frequency: 2
Label: Steve Prefontaine,		Frequency: 2
Label: EM 1991,		Frequency: 2
Label: Dražen Dalipagić,		Frequency: 2
Label: Ron Harper,		Frequency: 2
Label: Teresa Edwards,		Frequency: 2
Label: Chris Duhon,		Frequency: 2
Label: Spud Webb,		Frequency: 2
Label: Brose Baskets Bamberg,		Frequency: 2
Label: Dayton,		Frequency: 2
Label: Sportsimulation,		Frequency: 2
Label: Portland Trailblazers,		Frequency: 2
Label: 1970,		Frequency: 2
Label: 1988,		Frequency: 2
Label: Kniescheibe,		Frequency: 2
Label: 1995,		Frequency: 2
Label: Philips Arena,		Frequency: 2
Label: Expansion Draft,		Frequency: 2
Label: Celtics,		Frequency: 2
Label: US-amerikanische,		Frequency: 2
Label: General,		Frequency: 2
Label: Ajax Amsterdam,		Frequency: 2
Label: Karsten Bäron,		Frequency: 2
Label: UCLA,		Frequency: 2
Label: Earl Monroe,		Frequency: 2
Label: Charles Oakley,		Frequency: 2
Label: Norah Jones,		Frequency: 2
Label: Bird,		Frequency: 2
Label: Best-of-Five,		Frequency: 2
Label: Dean Smith,		Frequency: 2
Label: wertvollsten Spieler,		Frequency: 2
Label: Juan Antonio Corbalán,		Frequency: 2
Label: Martina Navrátilová,		Frequency: 2
Label: 1966,		Frequency: 2
Label: 1964,		Frequency: 2
Label: 1960,		Frequency: 2
Label: Streetball,		Frequency: 2
Label: Bill Clinton,		Frequency: 1
Label: Entry Draft,		Frequency: 1
Label: Michael Sweetney,		Frequency: 1
Label: NBA-Drafts 2003,		Frequency: 1
Label: University of Pennsylvania,		Frequency: 1
Label: Windmühle,		Frequency: 1
Label: Scott Brooks,		Frequency: 1
Label: Naismith Legacy Award,		Frequency: 1
Label: Plattenlabel,		Frequency: 1
Label: Cynthia Cooper,		Frequency: 1
Label: 936,		Frequency: 1
Label: Craig Wilson,		Frequency: 1
Label: Philips,		Frequency: 1
Label: 30. August,		Frequency: 1
Label: Sean May,		Frequency: 1
Label: Ariane Ehrat,		Frequency: 1
Label: Laudatio,		Frequency: 1
Label: Hidayet Türkoğlu,		Frequency: 1
Label: Angelika Niebler,		Frequency: 1
Label: Hillary Clinton,		Frequency: 1
Label: ARS,		Frequency: 1
Label: Damon Wayans,		Frequency: 1
Label: Bremerhaven,		Frequency: 1
Label: 31. Juli,		Frequency: 1
Label: Frontcourt,		Frequency: 1
Label: HIV-Infektion,		Frequency: 1
Label: Salate,		Frequency: 1
Label: Tonassistent,		Frequency: 1
Label: Brendan Haywood,		Frequency: 1
Label: Abdul-Jabbar,		Frequency: 1
Label: Partnerstadt,		Frequency: 1
Label: 15. Februar,		Frequency: 1
Label: SuperSonics,		Frequency: 1
Label: Cypress Hill,		Frequency: 1
Label: Johann II.,		Frequency: 1
Label: Blake Griffin,		Frequency: 1
Label: Jens Harder,		Frequency: 1
Label: Soul Asylum,		Frequency: 1
Label: P. J. Brown,		Frequency: 1
Label: Spinnen,		Frequency: 1
Label: Jacqueline Kennedy Onassis,		Frequency: 1
Label: Frank Layden,		Frequency: 1
Label: A. C. Green,		Frequency: 1
Label: Marlies Askamp,		Frequency: 1
Label: Airport (Diskothek),		Frequency: 1
Label: Fastbreak,		Frequency: 1
Label: Brent William Hilliard,		Frequency: 1
Label: Iggy Pop,		Frequency: 1
Label: Universität von Alberta,		Frequency: 1
Label: Krieges,		Frequency: 1
Label: Uwe Blab,		Frequency: 1
