============== Resource: New York ==============
Word: degree,		Frequency: 4091
Word: built,		Frequency: 4085
Word: opera,		Frequency: 4038
Word: government,		Frequency: 4034
Word: returned,		Frequency: 4031
Word: rhode,		Frequency: 4016
Word: border,		Frequency: 4005
Word: live,		Frequency: 4004
Word: square,		Frequency: 4001
Word: british,		Frequency: 3998
Word: studios,		Frequency: 3983
Word: union,		Frequency: 3983
Word: hotel,		Frequency: 3969
Word: building,		Frequency: 3965
Word: henry,		Frequency: 3949
Word: nations,		Frequency: 3939
Word: father,		Frequency: 3904
Word: david,		Frequency: 3898
Word: hampshire,		Frequency: 3889
Word: maine,		Frequency: 3864
Word: academy,		Frequency: 3841
Word: france,		Frequency: 3824
Word: won,		Frequency: 3796
Word: set,		Frequency: 3794
Word: garden,		Frequency: 3791
Word: called,		Frequency: 3782
Word: rochester,		Frequency: 3782
Word: grew,		Frequency: 3753
Word: nevada,		Frequency: 3751
Word: left,		Frequency: 3750
Word: established,		Frequency: 3741
Word: staten,		Frequency: 3716
Word: television,		Frequency: 3714
Word: living,		Frequency: 3700
Word: theater,		Frequency: 3695
Word: toronto,		Frequency: 3659
Word: erie,		Frequency: 3644
Word: ship,		Frequency: 3617
Word: people,		Frequency: 3611
Word: region,		Frequency: 3601
Word: las,		Frequency: 3600
Word: studio,		Frequency: 3570
Word: artist,		Frequency: 3570
Word: magazine,		Frequency: 3569
Word: casino,		Frequency: 3562
Word: late,		Frequency: 3538
Word: wife,		Frequency: 3536
Word: works,		Frequency: 3532
Word: smith,		Frequency: 3530
Word: coast,		Frequency: 3529
Word: published,		Frequency: 3527
Word: fort,		Frequency: 3507
Word: field,		Frequency: 3503
Word: native,		Frequency: 3501
Word: death,		Frequency: 3479
Word: community,		Frequency: 3472
Word: madison,		Frequency: 3414
Word: falls,		Frequency: 3407
Word: berlin,		Frequency: 3393
Word: small,		Frequency: 3336
Word: production,		Frequency: 3336
Word: indiana,		Frequency: 3334
Word: young,		Frequency: 3326
Word: number,		Frequency: 3325
Word: tour,		Frequency: 3324
Word: beach,		Frequency: 3319
Word: rock,		Frequency: 3314
Word: joseph,		Frequency: 3274
Word: society,		Frequency: 3266
Word: list,		Frequency: 3258
Word: children,		Frequency: 3243
Word: air,		Frequency: 3225
Word: syracuse,		Frequency: 3222
Word: road,		Frequency: 3200
Word: spent,		Frequency: 3198
Word: private,		Frequency: 3195
Word: avenue,		Frequency: 3182
Word: opened,		Frequency: 3175
Word: joined,		Frequency: 3168
Word: airport,		Frequency: 3162
Word: originally,		Frequency: 3160
Word: back,		Frequency: 3140
Word: wisconsin,		Frequency: 3132
Word: department,		Frequency: 3130
Word: graduated,		Frequency: 3127
Word: lawrence,		Frequency: 3119
Word: league,		Frequency: 3111
Word: century,		Frequency: 3088
Word: niagara,		Frequency: 3068
