============== Resource: Michael Jordan ==============
Word: film,		Frequency: 31
Word: hill,		Frequency: 30
Word: miller,		Frequency: 30
Word: siegen,		Frequency: 30
Word: worthy,		Frequency: 30
Word: reggie,		Frequency: 30
Word: übernahm,		Frequency: 29
Word: air,		Frequency: 27
Word: portland,		Frequency: 22
Word: millionen,		Frequency: 22
Word: jazz,		Frequency: 22
Word: new,		Frequency: 22
Word: reo,		Frequency: 22
Word: shooting,		Frequency: 22
Word: souverän,		Frequency: 22
Word: namens,		Frequency: 22
Word: bill,		Frequency: 22
Word: trainer,		Frequency: 22
Word: beendete,		Frequency: 22
Word: comiczeichner,		Frequency: 22
Word: jugoslawische,		Frequency: 22
Word: scheiterten,		Frequency: 22
Word: übertraf,		Frequency: 22
Word: zusammenarbeit,		Frequency: 22
Word: shawn,		Frequency: 22
Word: spiele,		Frequency: 22
Word: vertrag,		Frequency: 22
Word: folge,		Frequency: 22
Word: rookie,		Frequency: 22
Word: jeweils,		Frequency: 22
Word: reihen,		Frequency: 22
Word: howard,		Frequency: 22
Word: konrad,		Frequency: 22
Word: sportler,		Frequency: 22
Word: basketballnationalmannschaft,		Frequency: 22
Word: dominique,		Frequency: 22
Word: verteidiger,		Frequency: 22
Word: elgin,		Frequency: 22
Word: bzw,		Frequency: 22
Word: etc,		Frequency: 22
Word: anlehnung,		Frequency: 22
Word: petrović,		Frequency: 22
Word: best,		Frequency: 22
Word: pick,		Frequency: 22
Word: meistertitel,		Frequency: 22
Word: späteren,		Frequency: 22
Word: auszeit,		Frequency: 22
Word: drehte,		Frequency: 22
Word: trophäe,		Frequency: 22
Word: karriere,		Frequency: 22
Word: olympischen,		Frequency: 22
Word: rolle,		Frequency: 22
Word: setzte,		Frequency: 22
Word: aufeinander,		Frequency: 22
Word: anführer,		Frequency: 22
Word: ball,		Frequency: 22
Word: slash,		Frequency: 22
Word: überholte,		Frequency: 22
Word: reguläre,		Frequency: 22
Word: sportarten,		Frequency: 22
Word: trainiert,		Frequency: 22
Word: nannte,		Frequency: 22
Word: viertel,		Frequency: 22
Word: trat,		Frequency: 22
Word: athletik,		Frequency: 22
Word: mary,		Frequency: 22
Word: heimteam,		Frequency: 22
Word: mindestens,		Frequency: 22
Word: ähnelt,		Frequency: 22
Word: university,		Frequency: 22
Word: detroit,		Frequency: 22
Word: baylor,		Frequency: 22
Word: monaten,		Frequency: 22
Word: steht,		Frequency: 22
Word: höchste,		Frequency: 22
Word: suns,		Frequency: 22
Word: heinz,		Frequency: 22
Word: agent,		Frequency: 22
Word: lucas,		Frequency: 22
Word: deutlich,		Frequency: 22
Word: carolina,		Frequency: 22
Word: indiana,		Frequency: 22
Word: talent,		Frequency: 22
Word: dollar,		Frequency: 22
Word: trug,		Frequency: 22
Word: wahlen,		Frequency: 22
Word: trail,		Frequency: 22
Word: idol,		Frequency: 22
Word: bogues,		Frequency: 22
Word: champion,		Frequency: 22
Word: wilkins,		Frequency: 22
Word: entscheidenden,		Frequency: 22
Word: cheftrainer,		Frequency: 22
Word: preisträger,		Frequency: 22
Word: berühmte,		Frequency: 22
Word: stimmen,		Frequency: 22
Word: muggsy,		Frequency: 22
Word: spot,		Frequency: 22
Word: baseball,		Frequency: 22
Word: verloren,		Frequency: 22
Word: teilen,		Frequency: 22
Word: mitbesitzer,		Frequency: 22
Word: stellt,		Frequency: 22
Word: pacers,		Frequency: 22
Word: bradley,		Frequency: 22
Word: sowohl,		Frequency: 22
Word: ära,		Frequency: 22
Word: supersonics,		Frequency: 22
Word: mitglied,		Frequency: 22
Word: schrempf,		Frequency: 22
Word: bekannte,		Frequency: 22
Word: runde,		Frequency: 22
Word: wolf,		Frequency: 22
Word: floyd,		Frequency: 22
Word: ars,		Frequency: 22
Word: märz,		Frequency: 22
Word: drexler,		Frequency: 22
Word: favorisierte,		Frequency: 22
Word: vince,		Frequency: 22
Word: wert,		Frequency: 22
Word: dalipagić,		Frequency: 22
Word: grant,		Frequency: 22
Word: sommer,		Frequency: 22
Word: früherer,		Frequency: 22
Word: animationsfilm,		Frequency: 22
Word: payton,		Frequency: 22
Word: liste,		Frequency: 22
Word: angehörten,		Frequency: 22
Word: verkündet,		Frequency: 22
Word: gesamten,		Frequency: 21
Word: aktiven,		Frequency: 21
Word: anschließend,		Frequency: 21
Word: bezeichnet,		Frequency: 21
Word: schnitt,		Frequency: 21
Word: antonio,		Frequency: 20
Word: hero,		Frequency: 20
Word: spurs,		Frequency: 20
Word: san,		Frequency: 20
Word: richie,		Frequency: 20
Word: spitzname,		Frequency: 20
Word: transferiert,		Frequency: 20
Word: rich,		Frequency: 20
Word: trikot,		Frequency: 19
Word: green,		Frequency: 19
Word: alter,		Frequency: 19
Word: erstmals,		Frequency: 19
Word: robert,		Frequency: 19
Word: galt,		Frequency: 19
Word: sehen,		Frequency: 19
Word: beteiligt,		Frequency: 19
Word: entscheidende,		Frequency: 19
Word: aktiv,		Frequency: 19
Word: geschichte,		Frequency: 18
Word: bekannten,		Frequency: 18
Word: basketballschuhe,		Frequency: 18
Word: fantasyfilm,		Frequency: 17
Word: cover,		Frequency: 16
Word: president,		Frequency: 11
Word: robots,		Frequency: 11
Word: besitzer,		Frequency: 11
Word: einziges,		Frequency: 11
Word: drittbesten,		Frequency: 11
Word: charakterlich,		Frequency: 11
Word: time,		Frequency: 11
Word: ferierte,		Frequency: 11
Word: basketballs,		Frequency: 11
Word: spielfigur,		Frequency: 11
Word: thunder,		Frequency: 11
Word: dorobantu,		Frequency: 11
Word: animation,		Frequency: 11
Word: comic,		Frequency: 11
Word: staaten,		Frequency: 11
Word: zubak,		Frequency: 11
Word: stripburger,		Frequency: 11
Word: profi,		Frequency: 11
Word: gewachsener,		Frequency: 11
Word: evans,		Frequency: 11
Word: unterschied,		Frequency: 11
Word: spitze,		Frequency: 11
Word: szene,		Frequency: 11
Word: generierte,		Frequency: 11
Word: reservespieler,		Frequency: 11
Word: annan,		Frequency: 11
Word: erwähnen,		Frequency: 11
Word: gordon,		Frequency: 11
Word: truce,		Frequency: 11
Word: regulären,		Frequency: 11
Word: net,		Frequency: 11
Word: stöger,		Frequency: 11
Word: goldene,		Frequency: 11
Word: cannes,		Frequency: 11
Word: bestern,		Frequency: 11
Word: foundation,		Frequency: 11
Word: murphy,		Frequency: 11
Word: raffetseder,		Frequency: 11
Word: knapp,		Frequency: 11
Word: navrátilová,		Frequency: 11
Word: playoffrekord,		Frequency: 11
Word: lackner,		Frequency: 11
Word: antreten,		Frequency: 11
Word: darstellt,		Frequency: 11
Word: superspieler,		Frequency: 11
Word: miyagi,		Frequency: 11
Word: ersetzt,		Frequency: 11
Word: dienste,		Frequency: 11
Word: antraten,		Frequency: 11
Word: gewinn,		Frequency: 11
Word: hauptrollen,		Frequency: 11
Word: einzug,		Frequency: 11
Word: exzentrischen,		Frequency: 11
Word: erklärt,		Frequency: 11
Word: hält,		Frequency: 11
Word: wobei,		Frequency: 11
Word: neunzigern,		Frequency: 11
Word: höhepunkt,		Frequency: 11
Word: namhafte,		Frequency: 11
Word: wiederholte,		Frequency: 11
Word: michaels,		Frequency: 11
Word: gretzky,		Frequency: 11
Word: firma,		Frequency: 11
Word: michaela,		Frequency: 11
Word: modus,		Frequency: 11
Word: haushoher,		Frequency: 11
Word: fan,		Frequency: 11
Word: bester,		Frequency: 11
Word: zeiten,		Frequency: 11
Word: dar,		Frequency: 11
Word: kirk,		Frequency: 11
Word: unbekannten,		Frequency: 11
Word: gemessen,		Frequency: 11
Word: fast,		Frequency: 11
Word: everett,		Frequency: 11
Word: namen,		Frequency: 11
Word: parallelen,		Frequency: 11
Word: olympic,		Frequency: 11
Word: distanz,		Frequency: 11
Word: espn,		Frequency: 11
Word: grad,		Frequency: 11
Word: präsident,		Frequency: 11
Word: vereint,		Frequency: 11
Word: egalisierte,		Frequency: 11
Word: frozen,		Frequency: 11
Word: twins,		Frequency: 11
Word: nah,		Frequency: 11
Word: olympia,		Frequency: 11
Word: erfolgreichsten,		Frequency: 11
Word: naomi,		Frequency: 11
Word: gewinner,		Frequency: 11
Word: überraschend,		Frequency: 11
Word: drogen,		Frequency: 11
Word: ehren,		Frequency: 11
Word: schiller,		Frequency: 11
Word: freiwürfen,		Frequency: 11
Word: bon,		Frequency: 11
Word: einmaligen,		Frequency: 11
Word: sportartikelhersteller,		Frequency: 11
Word: ausgeschieden,		Frequency: 11
Word: brown,		Frequency: 11
Word: pettit,		Frequency: 11
Word: schläge,		Frequency: 11
Word: freak,		Frequency: 11
Word: musiker,		Frequency: 11
Word: bisherigen,		Frequency: 11
Word: schmunzelmonster,		Frequency: 11
Word: hidayet,		Frequency: 11
Word: durchschnittlichen,		Frequency: 11
Word: beobachtet,		Frequency: 11
Word: beobachter,		Frequency: 11
Word: zog,		Frequency: 11
Word: spots,		Frequency: 11
Word: entstand,		Frequency: 11
Word: glanzzeiten,		Frequency: 11
Word: frieden,		Frequency: 11
Word: nate,		Frequency: 11
Word: ligarekord,		Frequency: 11
Word: isiah,		Frequency: 11
Word: hinaus,		Frequency: 11
Word: dominanz,		Frequency: 11
Word: dominant,		Frequency: 11
Word: gemessene,		Frequency: 11
Word: rose,		Frequency: 11
Word: honda,		Frequency: 11
Word: gatorade,		Frequency: 11
Word: älteren,		Frequency: 11
Word: türkoğlu,		Frequency: 11
Word: alice,		Frequency: 11
Word: western,		Frequency: 11
Word: durchbruch,		Frequency: 11
Word: steals,		Frequency: 11
Word: anspielung,		Frequency: 11
Word: jemals,		Frequency: 11
Word: unglücklich,		Frequency: 11
Word: kurioses,		Frequency: 11
Word: retired,		Frequency: 11
Word: startaufstellung,		Frequency: 11
Word: verdrängte,		Frequency: 11
Word: stefano,		Frequency: 11
Word: seelischen,		Frequency: 11
Word: haderer,		Frequency: 11
Word: antawn,		Frequency: 11
Word: jon,		Frequency: 11
Word: wunsch,		Frequency: 11
Word: athlete,		Frequency: 11
Word: integrieren,		Frequency: 11
Word: september,		Frequency: 11
Word: papertoys,		Frequency: 11
Word: übernimmt,		Frequency: 11
Word: spätere,		Frequency: 11
Word: künstlervereinigung,		Frequency: 11
Word: club,		Frequency: 11
Word: gegenüberstanden,		Frequency: 11
Word: guitar,		Frequency: 11
Word: square,		Frequency: 11
Word: marko,		Frequency: 11
Word: vietnamkrieg,		Frequency: 11
Word: tollkühne,		Frequency: 11
Word: erfolg,		Frequency: 11
Word: bett,		Frequency: 11
Word: affinität,		Frequency: 11
Word: egos,		Frequency: 11
Word: brauchte,		Frequency: 11
Word: startete,		Frequency: 11
Word: berühmtesten,		Frequency: 11
Word: anfangsaufstellung,		Frequency: 11
Word: stellte,		Frequency: 11
Word: workshop,		Frequency: 11
Word: holten,		Frequency: 11
Word: verbindet,		Frequency: 11
Word: dominieren,		Frequency: 11
Word: werdenden,		Frequency: 11
Word: cooper,		Frequency: 11
Word: andre,		Frequency: 11
Word: nelly,		Frequency: 11
Word: spielt,		Frequency: 11
Word: paul,		Frequency: 11
Word: gegeben,		Frequency: 11
Word: basketballsuperstar,		Frequency: 11
Word: pikanterie,		Frequency: 11
Word: basketballmannschaft,		Frequency: 11
Word: rabbit,		Frequency: 11
Word: prominente,		Frequency: 11
Word: insgesamt,		Frequency: 11
Word: tyra,		Frequency: 11
Word: gewinnt,		Frequency: 11
Word: kombination,		Frequency: 11
Word: rockets,		Frequency: 11
Word: roger,		Frequency: 11
Word: gitarrist,		Frequency: 11
Word: alleingang,		Frequency: 11
Word: erreichen,		Frequency: 11
Word: entscheiden,		Frequency: 11
Word: nahmen,		Frequency: 11
Word: vergeben,		Frequency: 11
Word: legenden,		Frequency: 11
Word: sport,		Frequency: 11
Word: vieler,		Frequency: 11
Word: abbrederis,		Frequency: 11
Word: mcadoo,		Frequency: 11
Word: football,		Frequency: 11
Word: wayman,		Frequency: 11
Word: bühne,		Frequency: 11
Word: augen,		Frequency: 11
Word: vorbehalten,		Frequency: 11
Word: populärste,		Frequency: 11
Word: zogen,		Frequency: 11
Word: realen,		Frequency: 11
Word: teilhaber,		Frequency: 11
Word: gelegenheit,		Frequency: 11
Word: meter,		Frequency: 11
Word: bedeuten,		Frequency: 11
Word: jones,		Frequency: 11
Word: deion,		Frequency: 11
Word: repräsentierten,		Frequency: 11
Word: schlugen,		Frequency: 11
Word: beigetreten,		Frequency: 11
Word: gegner,		Frequency: 11
Word: cool,		Frequency: 11
Word: cosplay,		Frequency: 11
Word: verzichtete,		Frequency: 11
Word: erwiesen,		Frequency: 11
Word: miami,		Frequency: 11
Word: baseballer,		Frequency: 11
Word: teams,		Frequency: 11
Word: machtwechsel,		Frequency: 11
Word: verlängerungen,		Frequency: 11
Word: strobl,		Frequency: 11
Word: bedingungslos,		Frequency: 11
Word: charlie,		Frequency: 11
Word: wechselte,		Frequency: 11
Word: oklahoma,		Frequency: 11
Word: anderer,		Frequency: 11
Word: computerspiel,		Frequency: 11
Word: babe,		Frequency: 11
Word: tyreke,		Frequency: 11
Word: gold,		Frequency: 11
Word: enthüllt,		Frequency: 11
Word: standen,		Frequency: 11
Word: franchise,		Frequency: 11
Word: back,		Frequency: 11
Word: technik,		Frequency: 11
Word: lied,		Frequency: 11
Word: jüngeren,		Frequency: 11
Word: gescheitert,		Frequency: 11
Word: basketballspitzenspieler,		Frequency: 11
Word: garden,		Frequency: 11
Word: porträts,		Frequency: 11
Word: world,		Frequency: 11
Word: hornets,		Frequency: 11
Word: sechsmal,		Frequency: 11
Word: vorbild,		Frequency: 11
Word: wählte,		Frequency: 11
Word: eigentümer,		Frequency: 11
Word: arnold,		Frequency: 11
Word: journalisten,		Frequency: 11
Word: wüsste,		Frequency: 11
Word: lud,		Frequency: 11
Word: dritthöchste,		Frequency: 11
Word: oona,		Frequency: 11
Word: junge,		Frequency: 11
Word: draftpick,		Frequency: 11
Word: erlitten,		Frequency: 11
Word: cartwright,		Frequency: 11
Word: madison,		Frequency: 11
Word: ehemalige,		Frequency: 11
Word: eingestuft,		Frequency: 11
Word: joseph,		Frequency: 11
Word: footballer,		Frequency: 11
Word: awards,		Frequency: 11
Word: ausstellungen,		Frequency: 11
Word: filmen,		Frequency: 11
Word: song,		Frequency: 11
Word: eventuell,		Frequency: 11
Word: vorjahresmeister,		Frequency: 11
Word: tisdale,		Frequency: 11
Word: bescheinigt,		Frequency: 11
Word: inklusive,		Frequency: 11
Word: stärker,		Frequency: 11
Word: finaleinzug,		Frequency: 11
Word: bobby,		Frequency: 11
Word: steigerten,		Frequency: 11
Word: brachten,		Frequency: 11
Word: stopfte,		Frequency: 11
Word: experten,		Frequency: 11
Word: vern,		Frequency: 11
Word: regular,		Frequency: 11
Word: brachte,		Frequency: 11
Word: amerikanischer,		Frequency: 11
Word: detlef,		Frequency: 11
Word: you,		Frequency: 11
Word: rotraut,		Frequency: 11
Word: beispielsweise,		Frequency: 11
Word: spanische,		Frequency: 11
Word: informationen,		Frequency: 11
Word: parteien,		Frequency: 11
Word: auswahl,		Frequency: 11
Word: nothin,		Frequency: 11
Word: animationen,		Frequency: 11
Word: dietmar,		Frequency: 11
Word: bilanz,		Frequency: 11
Word: kindheit,		Frequency: 11
Word: hannelore,		Frequency: 11
Word: guards,		Frequency: 11
Word: vorher,		Frequency: 11
Word: marcos,		Frequency: 11
Word: punktzahl,		Frequency: 11
Word: martina,		Frequency: 11
Word: getreten,		Frequency: 11
Word: populär,		Frequency: 11
Word: veröffentlichte,		Frequency: 11
Word: geschehen,		Frequency: 11
Word: elite,		Frequency: 11
Word: akagi,		Frequency: 11
Word: vertraten,		Frequency: 11
Word: laufen,		Frequency: 11
Word: fechten,		Frequency: 11
Word: niederlagen,		Frequency: 11
Word: geheimen,		Frequency: 11
Word: häufiger,		Frequency: 11
Word: playoffspiel,		Frequency: 11
Word: verbinski,		Frequency: 11
Word: gaben,		Frequency: 11
Word: führen,		Frequency: 11
Word: anthony,		Frequency: 11
Word: neuaufbau,		Frequency: 11
Word: male,		Frequency: 11
Word: enthalten,		Frequency: 11
Word: playoff,		Frequency: 11
Word: rookies,		Frequency: 11
Word: getrennte,		Frequency: 11
Word: betätigen,		Frequency: 11
Word: körpergröße,		Frequency: 11
Word: erfolgreiche,		Frequency: 11
Word: kaplan,		Frequency: 11
Word: but,		Frequency: 11
Word: anwender,		Frequency: 11
Word: versagt,		Frequency: 11
Word: kofi,		Frequency: 11
Word: erfolgsteam,		Frequency: 11
Word: wurftechnik,		Frequency: 11
Word: galten,		Frequency: 11
Word: siegfried,		Frequency: 11
Word: heat,		Frequency: 11
Word: spielsituationen,		Frequency: 11
Word: saisonspiel,		Frequency: 11
Word: werke,		Frequency: 11
Word: anzinger,		Frequency: 11
Word: repräsentierte,		Frequency: 11
Word: helmut,		Frequency: 11
Word: jens,		Frequency: 11
Word: ghostbusters,		Frequency: 11
Word: ehe,		Frequency: 11
Word: scoring,		Frequency: 11
Word: jump,		Frequency: 11
Word: knows,		Frequency: 11
Word: statue,		Frequency: 11
Word: russell,		Frequency: 11
Word: sonstiges,		Frequency: 11
Word: gary,		Frequency: 11
Word: devils,		Frequency: 11
Word: mcveigh,		Frequency: 11
Word: rückkehr,		Frequency: 11
Word: state,		Frequency: 11
Word: angeführt,		Frequency: 11
Word: wainwright,		Frequency: 11
Word: magazine,		Frequency: 11
Word: dwyane,		Frequency: 11
Word: lizenzierung,		Frequency: 11
Word: zudem,		Frequency: 11
Word: verklagte,		Frequency: 11
Word: vorteil,		Frequency: 11
Word: bekam,		Frequency: 11
Word: definition,		Frequency: 11
Word: ermöglichen,		Frequency: 11
Word: gastauftritte,		Frequency: 11
Word: gebäude,		Frequency: 11
Word: starke,		Frequency: 11
Word: cartoonia,		Frequency: 11
Word: orleans,		Frequency: 11
Word: starter,		Frequency: 11
Word: wolfpack,		Frequency: 11
Word: sommerspielen,		Frequency: 11
Word: sprecher,		Frequency: 11
Word: rekorde,		Frequency: 11
Word: erschien,		Frequency: 11
Word: basketballlegende,		Frequency: 11
Word: sprachsamples,		Frequency: 11
Word: college,		Frequency: 11
Word: härtester,		Frequency: 11
Word: halberstam,		Frequency: 11
Word: bezwang,		Frequency: 11
Word: frei,		Frequency: 11
Word: berufung,		Frequency: 11
Word: kategorie,		Frequency: 11
Word: fehler,		Frequency: 11
Word: bedrängnis,		Frequency: 11
Word: black,		Frequency: 11
Word: razzia,		Frequency: 11
Word: brehm,		Frequency: 11
Word: weggang,		Frequency: 11
Word: geisterjäger,		Frequency: 11
Word: eishockeyspieler,		Frequency: 11
Word: number,		Frequency: 11
Word: höher,		Frequency: 11
Word: sicherten,		Frequency: 11
Word: elliot,		Frequency: 11
Word: voyage,		Frequency: 11
Word: timothy,		Frequency: 11
Word: beck,		Frequency: 11
Word: danny,		Frequency: 11
Word: klub,		Frequency: 11
Word: trägt,		Frequency: 11
Word: erreicht,		Frequency: 11
Word: bücher,		Frequency: 11
Word: körpers,		Frequency: 11
Word: oakley,		Frequency: 11
Word: taktik,		Frequency: 11
Word: intervention,		Frequency: 11
Word: subcomandante,		Frequency: 11
Word: verkündete,		Frequency: 11
Word: bezwangen,		Frequency: 11
Word: filme,		Frequency: 11
Word: inspirierten,		Frequency: 11
Word: weg,		Frequency: 11
Word: neuer,		Frequency: 11
Word: meister,		Frequency: 11
Word: what,		Frequency: 11
Word: mick,		Frequency: 11
Word: unterlief,		Frequency: 11
Word: legt,		Frequency: 11
Word: banks,		Frequency: 11
Word: erstmal,		Frequency: 11
Word: aussage,		Frequency: 11
Word: award,		Frequency: 11
Word: sakuragi,		Frequency: 11
Word: niemals,		Frequency: 11
Word: stiftung,		Frequency: 11
Word: dreipunktspezialist,		Frequency: 11
Word: would,		Frequency: 11
